text,label
Your package is on hold due to unpaid delivery fee. Please confirm your account details immediately.,scam
A new beneficiary was added to your account. Thank you. Thank you.,safe
Government subsidy is awaiting approval. Please update your payment details immediately.,scam
Your subscription payment failed. Please confirm your banking credentials immediately.,scam
Your debit card will be deactivated. Please confirm your account details immediately.,scam
Your debit card will be deactivated. Please verify your account immediately.,scam
Thanks for your help earlier. Thank you. Thank you. Thank you.,safe
Your crypto wallet requires verification. Please complete account verification immediately.,scam
Please call me when you are free. Thank you. Thank you.,safe
The class has been moved to a different time. Thank you. Thank you.,safe
Your fixed deposit has matured today. Thank you. Thank you. Thank you.,safe
Your account recovery request is incomplete. Please update your payment details immediately.,scam
Hey are we still meeting tomorrow. Thank you.,safe
URGENT! Your bank account has been suspended. Please update your payment details immediately.,scam
URGENT! Your bank account has been suspended. Please complete account verification immediately.,scam
Thanks for your help earlier. Thank you. Thank you. Thank you.,safe
Your KYC verification is pending. Please confirm your banking credentials immediately.,scam
Security alert: unusual activity detected on your bank account. Please restore your account access immediately.,scam
Your package is on hold due to unpaid delivery fee. Please confirm your banking credentials immediately.,scam
Your crypto wallet requires verification. Please unlock your account immediately.,scam
Your debit card will be deactivated. Please update your KYC immediately.,scam
You have won a lottery prize. Please update your KYC immediately.,scam
Your package is on hold due to unpaid delivery fee. Please update your KYC immediately.,scam
Your debit card transaction of INR 5484 was successful. Thank you. Thank you.,safe
Thanks for your help earlier. Thank you.,safe
Your account recovery request is incomplete. Please confirm your account details immediately.,scam
Your crypto wallet requires verification. Please secure your account immediately.,scam
Thanks for your help earlier. Thank you. Thank you.,safe
Please call me when you are free. Thank you.,safe
Your fixed deposit has matured today. Thank you. Thank you. Thank you.,safe
Your income tax refund is pending. Please update your KYC immediately.,scam
Your debit card transaction of INR 1044 was successful. Thank you.,safe
Your package is on hold due to unpaid delivery fee. Please restore your account access immediately.,scam
You have won a lottery prize. Please update your KYC immediately.,scam
Thanks for your help earlier. Thank you. Thank you. Thank you.,safe
Your KYC verification is pending. Please update your KYC immediately.,scam
Your order has been shipped. Thank you. Thank you.,safe
Your loan EMI of INR 6895 has been deducted.,safe
The class has been moved to a different time. Thank you. Thank you.,safe
Your OTP for SBI login is 311416. Do not share it with anyone. Thank you. Thank you. Thank you.,safe
Your subscription payment failed. Please update your KYC immediately.,scam
Your package is on hold due to unpaid delivery fee. Please confirm your account details immediately.,scam
Your fixed deposit has matured today. Thank you. Thank you. Thank you.,safe
Your crypto wallet requires verification. Please restore your account access immediately.,scam
You have won a lottery prize. Please verify your account immediately.,scam
Your account balance is INR 9188. Thank you. Thank you.,safe
Your subscription payment failed. Please complete account verification immediately.,scam
Your cheque has been cleared. Thank you.,safe
Your OTP for SBI login is 709431. Do not share it with anyone. Thank you. Thank you. Thank you.,safe
Government subsidy is awaiting approval. Please verify your account immediately.,scam
Government subsidy is awaiting approval. Please verify your account immediately.,scam
Your PayPal account requires verification. Please update your payment details immediately.,scam
Your online banking access has been restricted. Please confirm your banking credentials immediately.,scam
